event_id,ts_code,mention_score,industry_score,equity_score,co_move_score,link_score,score_breakdown
d2caa8416262e98b5066a353f703bec6,002594.SZ,0.00,90.00,10.00,20.00,27.00,"{""mention_detail"": {""ts_code_hit"": false, ""pure_code_hit"": false, ""title_name_hits"": [], ""text_name_hits"": []}, ""industry_detail"": {""lv1_match"": true, ""lv2_hits"": [""汽车"", ""车企"", ""ai""], ""industry"": ""汽车整车"", ""concept_hit_count"": 0}, ""equity_detail"": {""relation_hits"": []}, ""co_move_detail"": {""reason"": ""no_near_trade_date""}, ""weights"": {""mention"": 0.45, ""industry"": 0.25, ""equity"": 0.15, ""co_move"": 0.15}}"
4c5f4daf0df351934b315b3eb6355027,002594.SZ,0.00,90.00,10.00,20.00,27.00,"{""mention_detail"": {""ts_code_hit"": false, ""pure_code_hit"": false, ""title_name_hits"": [], ""text_name_hits"": []}, ""industry_detail"": {""lv1_match"": true, ""lv2_hits"": [""自动驾驶"", ""智驾"", ""ai""], ""industry"": ""汽车整车"", ""concept_hit_count"": 0}, ""equity_detail"": {""relation_hits"": []}, ""co_move_detail"": {""reason"": ""no_near_trade_date""}, ""weights"": {""mention"": 0.45, ""industry"": 0.25, ""equity"": 0.15, ""co_move"": 0.15}}"
b5a20fc16587be760b84b80a52453a16,300391.SZ,95.00,25.00,45.00,20.00,58.75,"{""mention_detail"": {""ts_code_hit"": false, ""pure_code_hit"": false, ""title_name_hits"": [""长药退""], ""text_name_hits"": [""长药退""]}, ""industry_detail"": {""lv1_match"": false, ""lv2_hits"": [""综合""], ""industry"": ""综合"", ""concept_hit_count"": 0}, ""equity_detail"": {""relation_hits"": []}, ""co_move_detail"": {""reason"": ""no_near_trade_date""}, ""weights"": {""mention"": 0.45, ""industry"": 0.25, ""equity"": 0.15, ""co_move"": 0.15}}"
ce4c36b212bff2877ac6c6d5d9a2d8a0,300391.SZ,90.00,25.00,45.00,20.00,56.50,"{""mention_detail"": {""ts_code_hit"": false, ""pure_code_hit"": true, ""title_name_hits"": [], ""text_name_hits"": [""长药退""]}, ""industry_detail"": {""lv1_match"": false, ""lv2_hits"": [""证券""], ""industry"": ""综合"", ""concept_hit_count"": 0}, ""equity_detail"": {""relation_hits"": []}, ""co_move_detail"": {""reason"": ""no_near_trade_date""}, ""weights"": {""mention"": 0.45, ""industry"": 0.25, ""equity"": 0.15, ""co_move"": 0.15}}"
4b3ac8cc6e880dcccf98fbe601439898,002594.SZ,0.00,90.00,10.00,20.00,27.00,"{""mention_detail"": {""ts_code_hit"": false, ""pure_code_hit"": false, ""title_name_hits"": [], ""text_name_hits"": []}, ""industry_detail"": {""lv1_match"": true, ""lv2_hits"": [""汽车"", ""乘用车"", ""新能源""], ""industry"": ""汽车整车"", ""concept_hit_count"": 0}, ""equity_detail"": {""relation_hits"": []}, ""co_move_detail"": {""reason"": ""no_near_trade_date""}, ""weights"": {""mention"": 0.45, ""industry"": 0.25, ""equity"": 0.15, ""co_move"": 0.15}}"
8ccdcbe15f7121238eff4c4766c24ef5,600030.SH,95.00,40.00,45.00,20.00,62.50,"{""mention_detail"": {""ts_code_hit"": false, ""pure_code_hit"": false, ""title_name_hits"": [""中信证券""], ""text_name_hits"": [""中信证券""]}, ""industry_detail"": {""lv1_match"": false, ""lv2_hits"": [], ""industry"": ""证券"", ""concept_hit_count"": 0}, ""equity_detail"": {""relation_hits"": []}, ""co_move_detail"": {""reason"": ""no_near_trade_date""}, ""weights"": {""mention"": 0.45, ""industry"": 0.25, ""equity"": 0.15, ""co_move"": 0.15}}"
62e3c94a1a888fd165c92624e9f6ab8b,002594.SZ,0.00,55.00,10.00,71.79,26.02,"{""mention_detail"": {""ts_code_hit"": false, ""pure_code_hit"": false, ""title_name_hits"": [], ""text_name_hits"": []}, ""industry_detail"": {""lv1_match"": true, ""lv2_hits"": [], ""industry"": ""汽车整车"", ""concept_hit_count"": 0}, ""equity_detail"": {""relation_hits"": []}, ""co_move_detail"": {""trade_date"": ""2026-03-23"", ""abs_pct_chg"": 4.4647, ""vol"": 178244551}, ""weights"": {""mention"": 0.45, ""industry"": 0.25, ""equity"": 0.15, ""co_move"": 0.15}}"
bfe2459373a4265d844d9f6a7a8a81eb,300391.SZ,0.00,55.00,10.00,97.37,29.86,"{""mention_detail"": {""ts_code_hit"": false, ""pure_code_hit"": false, ""title_name_hits"": [], ""text_name_hits"": []}, ""industry_detail"": {""lv1_match"": true, ""lv2_hits"": [], ""industry"": ""综合"", ""concept_hit_count"": 0}, ""equity_detail"": {""relation_hits"": []}, ""co_move_detail"": {""trade_date"": ""2025-12-29"", ""abs_pct_chg"": 19.7279, ""vol"": 8904100}, ""weights"": {""mention"": 0.45, ""industry"": 0.25, ""equity"": 0.15, ""co_move"": 0.15}}"
90eccc4015f9f83e2de2ea1644edbd31,300391.SZ,0.00,80.00,10.00,55.70,29.86,"{""mention_detail"": {""ts_code_hit"": false, ""pure_code_hit"": false, ""title_name_hits"": [], ""text_name_hits"": []}, ""industry_detail"": {""lv1_match"": true, ""lv2_hits"": [""民营经济""], ""industry"": ""综合"", ""concept_hit_count"": 0}, ""equity_detail"": {""relation_hits"": []}, ""co_move_detail"": {""trade_date"": ""2025-04-09"", ""abs_pct_chg"": 2.0979, ""vol"": 17621250}, ""weights"": {""mention"": 0.45, ""industry"": 0.25, ""equity"": 0.15, ""co_move"": 0.15}}"
270740c5671a29e1ad4682497ffc7fe0,300391.SZ,0.00,55.00,10.00,93.55,29.28,"{""mention_detail"": {""ts_code_hit"": false, ""pure_code_hit"": false, ""title_name_hits"": [], ""text_name_hits"": []}, ""industry_detail"": {""lv1_match"": true, ""lv2_hits"": [], ""industry"": ""综合"", ""concept_hit_count"": 0}, ""equity_detail"": {""relation_hits"": []}, ""co_move_detail"": {""trade_date"": ""2024-07-22"", ""abs_pct_chg"": 8.1531, ""vol"": 70979019}, ""weights"": {""mention"": 0.45, ""industry"": 0.25, ""equity"": 0.15, ""co_move"": 0.15}}"
32fb27f0c07218b87e82300e66e02735,300391.SZ,0.00,80.00,10.00,56.67,30.00,"{""mention_detail"": {""ts_code_hit"": false, ""pure_code_hit"": false, ""title_name_hits"": [], ""text_name_hits"": []}, ""industry_detail"": {""lv1_match"": true, ""lv2_hits"": [""民营经济""], ""industry"": ""综合"", ""concept_hit_count"": 0}, ""equity_detail"": {""relation_hits"": []}, ""co_move_detail"": {""trade_date"": ""2024-03-22"", ""abs_pct_chg"": 2.3897, ""vol"": 8565339}, ""weights"": {""mention"": 0.45, ""industry"": 0.25, ""equity"": 0.15, ""co_move"": 0.15}}"
8aacb1240fe0925658f32b052bdc1e28,300391.SZ,0.00,80.00,10.00,49.24,28.89,"{""mention_detail"": {""ts_code_hit"": false, ""pure_code_hit"": false, ""title_name_hits"": [], ""text_name_hits"": []}, ""industry_detail"": {""lv1_match"": true, ""lv2_hits"": [""民营经济""], ""industry"": ""综合"", ""concept_hit_count"": 0}, ""equity_detail"": {""relation_hits"": []}, ""co_move_detail"": {""trade_date"": ""2023-09-01"", ""abs_pct_chg"": 1.2461, ""vol"": 5068827}, ""weights"": {""mention"": 0.45, ""industry"": 0.25, ""equity"": 0.15, ""co_move"": 0.15}}"
